team_a,team_b,score_a,score_b,stage,date
Mexico,South Africa,2,0,group,2026-06-11
South Korea,Czechia,2,1,group,2026-06-11
Canada,Bosnia and Herzegovina,1,1,group,2026-06-12
USA,Paraguay,4,1,group,2026-06-12
Switzerland,Qatar,1,1,group,2026-06-13
Brazil,Morocco,1,1,group,2026-06-13
Scotland,Haiti,1,0,group,2026-06-13
Australia,Turkiye,2,0,group,2026-06-14
Germany,Curacao,7,1,group,2026-06-14
Ivory Coast,Ecuador,1,0,group,2026-06-14
Netherlands,Japan,2,2,group,2026-06-14
Sweden,Tunisia,5,1,group,2026-06-14
Belgium,Egypt,1,1,group,2026-06-15
Iran,New Zealand,2,2,group,2026-06-15
Spain,Cabo Verde,0,0,group,2026-06-15
Saudi Arabia,Uruguay,1,1,group,2026-06-15
France,Senegal,3,1,group,2026-06-16
Norway,Iraq,4,1,group,2026-06-16
Portugal,DR Congo,1,1,group,2026-06-17
Colombia,Uzbekistan,3,1,group,2026-06-17
England,Croatia,4,2,group,2026-06-17
Ghana,Panama,1,0,group,2026-06-17
Czechia,South Africa,1,1,group,2026-06-18
Mexico,South Korea,1,0,group,2026-06-18
Switzerland,Bosnia and Herzegovina,4,1,group,2026-06-18
Canada,Qatar,6,0,group,2026-06-18
USA,Australia,2,0,group,2026-06-19
Turkiye,Paraguay,0,1,group,2026-06-19
Scotland,Morocco,0,1,group,2026-06-19
Brazil,Haiti,3,0,group,2026-06-19
Netherlands,Sweden,5,1,group,2026-06-20
Germany,Ivory Coast,2,1,group,2026-06-20
Ecuador,Curacao,0,0,group,2026-06-20
Japan,Tunisia,4,0,group,2026-06-21
Spain,Saudi Arabia,4,0,group,2026-06-21
Belgium,Iran,0,0,group,2026-06-21
Uruguay,Cabo Verde,2,2,group,2026-06-21
France,Iraq,3,0,group,2026-06-22
Norway,Senegal,3,2,group,2026-06-22
Portugal,Uzbekistan,5,0,group,2026-06-23
Colombia,DR Congo,1,0,group,2026-06-23
England,Ghana,0,0,group,2026-06-23
Croatia,Panama,1,0,group,2026-06-23
Mexico,Czechia,3,0,group,2026-06-24
South Africa,South Korea,1,0,group,2026-06-24
Switzerland,Canada,2,1,group,2026-06-24
Bosnia and Herzegovina,Qatar,3,1,group,2026-06-24
Scotland,Brazil,0,3,group,2026-06-24
Morocco,Haiti,4,2,group,2026-06-24
Turkiye,USA,3,2,group,2026-06-25
Paraguay,Australia,0,0,group,2026-06-25
Curacao,Ivory Coast,0,2,group,2026-06-25
Ecuador,Germany,2,1,group,2026-06-25
Japan,Sweden,1,1,group,2026-06-25
Netherlands,Tunisia,3,1,group,2026-06-25
