team	group	base_elo
Spain	E	2157
Argentina	J	2115
France	I	2063
England	L	2024
Brazil	F	1991
Portugal	K	1989
Colombia	K	1982
Netherlands	H	1948
Ecuador	G	1938
Germany	G	1932
Norway	I	1914
Croatia	L	1912
Turkiye	D	1911
Japan	H	1906
Belgium	C	1894
Uruguay	E	1892
Switzerland	B	1891
Mexico	A	1875
Senegal	I	1860
Paraguay	D	1834
Austria	J	1830
Morocco	F	1827
Canada	B	1788
Scotland	F	1782
Australia	D	1777
Algeria	J	1772
Iran	C	1772
South Korea	A	1758
Czechia	A	1740
Panama	L	1730
USA	D	1726
Uzbekistan	K	1714
Sweden	H	1712
Egypt	C	1696
Ivory Coast	G	1695
Jordan	J	1680
DR Congo	K	1652
Tunisia	H	1628
Iraq	I	1607
Bosnia and Herzegovina	B	1595
Cabo Verde	E	1578
Saudi Arabia	E	1576
New Zealand	C	1562
Haiti	F	1548
South Africa	A	1517
Ghana	L	1510
Curacao	G	1434
Qatar	B	1421
